CATÁLOGO DE VÁLVULAS 3B 2024,,,,,,,,,,,,,,,,,,,,
"Motor 
Engine","Aplicación 
Application","Cil 
Cyl","D
G","Nº 3B 
3B P/N","Sup Vast.   
Stem Over Size.","Ø Vástago     
Stem","Ø Cabeza      
Head","Largo Total 
Length",º,TIPO CHAV,CAB,#OE,#OE,#OE,#OE,#OE,#OE,#MORESA,#EDIVAL,
,,,,3144-AC,.003,8.039,43.69,111.61,45º,2,C,,,,,,,,,
,,,,3144-AC,.015,8.344,43.69,111.61,45º,2,C,,,,,,,,,
,,,,3145-ECP,STD.,7.956,38.1,110.5,45º,2,C,,,,,,,,,
,,,,3145-ECP,.003,8.032,38.1,110.5,45º,2,C,,,,,,,,,
,,,,3145-ECP,.015,8.337,38.1,110.5,45º,2,C,,,,,,,,,
"V6, 217 C.I., (3.6L), DOHC, GAS, FI, 24 Valve, Vin D, V, LLT Direct Injected.",G6 / G8 / Torrent,6,G,4600-AN,STD,5.963,37,101.3,45º,2,C,12575351,,,,,,,,
,,,,4601-EN,STD,5.95,30.6,97.1,45º,2,C,12575354,,,,,,,,
"350 / 400 / 455 5.7 / 6.6 / 7.5 Lts.
V8 - 1971-79",Pontiac ,8,G,343-AC,STD.,8.67,53.6,126.4,30º,7,A,526102,,,,,,,,
,,,,1343-ECP,STD.,8.66,42.2,126.1,45º,7,A,489843,,,,,,,,
"350 / 400 / 455  - 5.7 / 6.6 / 7.5 Lts.
V8 - 1970-74",Pontiac,8,G,3646-AC,STD.,8.674,49.8,126.5,44º,7,A,483201,489849,978320,,,,,,
,,,,3647-ECP,STD.,8.661,44.96,126.35,44º,7,A,483191,486567,148564,,,,,,
"400 - 350 - 428 CI - 6,6 Lts. - 5,7 Lts. - 7,0 Lts. - ",Pontiac (Bonneville - Catalina - Firebird - Grand Prix - Safari - Lemans ),8,G,3640-AC,STD.,8.674,53.6,129.45,30º,7,A,9792426,9792342,9792344,,,,,,
,,,,3641-ECB,STD.,8.661,44.96,129.36,45º,7,A,9792340,9792424,,,,,,,
Vortec GEN III V8 16v. 6.0lt. Vinj. L99 / ,Pontiac G8,8,G,4380-AC,STD,7.966,55,124,45º,2,C,12590771,12617533,,,,,V-7071,,
6.2lt. Vin W LS3  ,,,,4381-ECP,STD,7.955,40.4,124.8,45º,2,C,12582719,12612427,,,,,S-7072,,
"389  -  6.4 Lts. - 421  6.9 Lts.
V8 - 1964-66",Pontiac ,8,G,3668-A,STD.,8.664,48.77,124.4,30º,7,A,9778757,,,,,,,,
,,,,3669-ECB,STD.,8.661,41.65,123.9,45º,7,C,9778742,9787593,,,,,,,
,RASTROJERO (Borgward),,,,,,,,,,,,,,,,,,,
D4M  - 1952-64,42HP / 52HP,4,D,252-A,STD.,8.97,32.2,123,45º,8,C,0463041000,,,,,,,,
,,,,1253-E,STD.,8.97,30.2,123,45º,8,A,,,,,,,,,
52HP - Borgward,Borgward ,4,D,108-A,STD.,9.97,35.5,124.9,45º,6,A,,,,,,,,,
,,,,1109-E,STD.,9.96,31,125.2,45º,6,A,1113041100,,,,,,,21061-E,
Borgward   VM 100 / 112 HP,Borgward   VM 100 / 112 HP,4,D,1567-ACP,STD.,7.95,40.15,121,30º,2,C,20360026A,,,,,,,21054 A,
,,,,1567-ECB,STD.,7.93,33.9,121,45º,2,C,20370025A,,,,,,,21054 E,
,RENAULT,,,,,,,,,,,,,,,,,,,
"L3, (1.0 lts), 12v. B4D",Kwid - Logan -Sandero,3,G,4832-AN,STD.,4.955,28,93.2,45º,4,C,132011477R,,,,,,,,
,,,,4833-EN,STD.,4.955,23.85,95.65,45º,4,C,132022959R,,,,,,,,
1.0 Lts. 1.1 Lts. 1.3 Lts. C1C  -  1970-76,R6 - R5 / R10 R12 R15 Dacia,4,G,258-A,STD.,6.98,33.5,89.8,45º,6,C,7700509771,,,,,,V-9550,1058 A,
,,,,1294-E,STD.,6.969,30.18,89,45º,3,C,7702023504,,,,,,,21072 E,
"L3, (1.0 LTS.), 999 C.C., 12 VALVE, SC-E",KWID / LOGAN / SANDERO / ,3,G,4775-AN,STD.,4.978000000000001,26.900000000000002,94.60000000000001,45º,4,C,,,,,,,,,
,,,,4776-EN,STD.,4.963,22.400000000000002,97.4,45º,4,C,,,,,,,,,
1.1 Lts. 1.3 Lts.  -  C1L / C1E  - 1976-86,R4 / 4GTL - R12,4,G,461-A,STD.,6.98,33.4,89.8,45º,2,C,7701458183,7700561318,770145180,,,,V-7167,1058-A,Suitable for CNG             --------            Apto GAS
,,,,1294-E,STD.,6.969,30.18,89,45º,3,C,7702023504,,,,,,,21072 E,
D4F - 1.2 Lts. -  16V.,Clio II - Twingo,4,G,3862-A,STD.,5.47,26,110.7,45º,4,A,1320200QAK, ,,,,,,1379 A,
,,,,3863-EB,STD.,5.455,22.1,112.5,45º,4,A,1320100QAJ, ,,,,,,21379 E,
1.2 Lts.   D7F -  8V  -   1997~ ,Twingo,4,G,3620-A,STD.,5.972,32.88,106.77,30º,2,A,7700862479,,,,,,,1354 A,
,,4,G,3621-EB,STD.,5.962,29.88,106.77,45º,2,A,7700862480,,,,,,,21354 E,
1.4 Lts. -  1974 - 1983,R12 / Traffic / Dacia GNC,4,G,294-AC,STD.,6.98,34,89.8,45º,2,C,,,,,,,,1072 AGNC,Suitable for CNG             --------            Apto GAS
,,,,1461-EGX,STD.,6.969,30.18,89,45º,3,C,7702057758,,,,,,,21072 EGNC,
,,,,1294-E,STD.,6.969,30.18,89,45º,3,C,7702023504,,,,,,,21072 E,
1.4 Lts.         ,R18,4,G,458-A,STD.,6.968,34.07,91.5,30º,2,C,7701460699,7700639627,770622345,7701462137,,,,1255 A,
,,,,1458-E,STD.,6.969,28.87,88.9,45º,3,C,7711677772,7701461214,7701461802,7700666112,,,,21255 E,Suitable for CNG             --------            Apto GAS
1.4 Lts. -  E7J,R9i (Injection) - Clio Energy,4,G,3526-A,STD.,6.965,37.5,108.1,30º,2,C,7701465088,7700273371,,,,,,,
,,,,3527-E,STD.,6.955,33.6,107.85,45º,2,C,7701465090,7700865832,7701468419,,,,,,
1.4 Lts.- 1.5 Lts.  - 1966~  -  L697,R16TL / LT / L - 697,4,G,3306-A,STD.,7.968,35.12,103.1,45º,6,C,05560433000,,,,,,V-9569,,
,,,,23306-E,STD.,7.958,31.11,102.99,45º,4,C,7700504926,,,,,,S-9570,,
1.4 Lts. - 1.6 Lts.                                ,R11 / R9 / R19,4,G,363-A,STD.,6.979,34.07,91.43,45º,2,C,,,,,,,,1055-A,Suitable for CNG             --------            Apto GAS
 F40 / C1G / C1J / C2J  - 1985~,,,,363-AC,STD.,6.979,34.07,91.43,45º,2,C,7700682064,,,,,,,1055 AGNC,
,,,,1363-EP,STD.,6.96,28.88,89,45º,3,C,7700638247,,,,,,,21055 EGNC,
K9K - 1.5 Lts. -  8V.,Clio II,4,D,3860-A,STD.,5.98,33.45,100.9,45º,4,C,7701476573,,,,,,,1256 A,
,,,,3861-EB,STD.,5.975,28.9,100.7,45º,4,C,7701476572,,,,,,,21256 E,
1.6 Lts. -  A1M / A2M / A6M   -  1979-83,R18 GTL / GTS Break,4,G,3305-A,STD.,7.967,35.91,105.1,45º,2,C,7700629763,,,,,,V-9589,,
,,,,23305-E,STD.,7.97,31.62,103.8,45º,4,C,7700639199,,,,,,S-9590,,
1.6 Lts. - C2L - C3L - C4L,R9 / R19 RN / Clio,4,G,3308-AC,STD.,6.979,34.08,90.68,45º,3,C,3287419-0,,,,,,,1355 AGNC,Suitable for CNG             --------            Apto GAS
,,,,1363-ECP,STD.,6.969,28.88,89,45º,3,C,7702080678,7701461802,7701460690,,,,,21055-E,
H4M  1.6 Lts.  16V    ,"DUSTER / SANDERO II / LOGAN II / CAPTUR / CLIO IV L4, (1.6 LTS.), 1598 C.C.,16 VALVE, H4M   -> DUSTER / LOGAN II / SANDERO II / CAPTUR  / CLIO IV.",4,G,4794-AN,STD.,4.97,31.7,101.75,45º,2,C,132018521R,,,,,,,,
,,,,4795-EN,STD.,4.955,25.45,102.5,45º,2,C,132028257E,,,,,,S-7324,,
,,,,4880-EN,STD.,4.965,25.45,102.5,45º,4,C,132271439R,,,,,,S-7324,,
 K4M  1.6 Lts.  16V    ,Clio II - Scenic - Megane - Logan,4,G,3598-A,STD.,5.484,32.7,109.32,45º,2,E,7700107489,7701472124,7701471378,,,,V-9839,1260 A,
,,4,G,3599-E,STD.,5.473,27.96,107.64,45º,2,A,7700107490,7700107490,7701471379,,,,S-9840,21260 E,
K7M 1.6 ltrs. 8V,Sandero / Logan ,4,G,4184-AN,STD.,6.965,37.6,108.2,30º,2,C,8200708663,,,,,,,,
,,,,4185-EN,STD.,6.95,33.6,108.2,45º,2,C,8200708663,,,,,,,,
F2N 1.7 Lts. ,R21 Alliance / R19 Chamade ,4,G,3218-A,STD.,7.985,38.2,111.5,30º,2,A,7700713788,,,,,,V-9615,1356-A,
,,,,23218-EB,STD.,7.96,32.85,111.3,45º,2,A,3343738-5,,,,,,,21356 EGNC,
"B4184S9- 1.8lt. 16v. L4  /
B4204S - 2.0lt. 16v. L4
N7Q 2.0i 16v  ", Renault Laguna L / Grantour,4,G,4386-A,STD,5.97,31,104.3,45º,4,A,1397641,,,,,,V-7285,,
,,,,4387-E,STD,5.96,27,103,45º,4,A,1366490,,,,,,S-7286,,
"1.8 Lts. - 2.0 Lts. - 
 F3P / F3R / 8V. / 1993~      ",Laguna - R19 - Megane ,4,G,3452-A,STD.,7.984,40.12,107.12,45º,2,C,7700855926,,,,,,,1359 A,Suitable for CNG             --------            Apto GAS
,,,,3453-EB,STD.,7.971,32.63,106.92,45º,2,C,7700855927,,,,,,,21359 E,
1.8 Lts.   F7 / F7P - 16V 1988~,R19 - Clio,4,G,3626-A,STD.,6.98,30.7,107.4,45º,2,E,7701465172,,,,,,,1353 A,
,,4,G,3627-EB,STD.,6.97,28.6,109.1,45º,2,A,7700747324,,,,,,,21353 E,
"L4, (2.0 LTS.), 16 VALVE, FLEX, 150CV, F4R ",DUSTER / SANDERO RS / DUSTER OROCH / ,4,G,4694-AN,STD.,5.47,34,110.60000000000001,45º,2,C,132010427R ,,,,,,S-9972,,
,,,,4695-EN,STD.,5.97,29,109,45º,4,C,132028317R ,,,,,,,,
1.8 Lts. - 2.0 Lts. -  F3P / F3R               8V                  ,Laguna - Megane                                         ,4,G,3714-A,STD.,7.987,40,115.5,45º,2,A,7701468960,,,,,,,1361 AGNC,
,,4,G,3715-EB,STD.,7.965,32.65,115.4,45º,2,A,7701466607,,,,,,,21361 EGNC,
1.9 Lts. - F8Q - 1995~            ,R19 Diesel Express  / Kangoo,4,D,3420-AB,STD.,7.988,35.1,109.9,45º,2,C,7701469369,7701468190,30852144,3345515,M852144,M889130,,21357 A,
,,,,23421-EB,STD.,7.945,31.3,110.05,45º,2,C,7701469373,7701471705,,,,,,21357 E,
1.9 Lts.  -  F8Q TD - 1993~,"Express, Clio, R19 TD  / Kangoo",4,D,3560-AB,STD.,7.975,35.1,111.7,45º,2,C,7701468035,,,,,,,21358 A,
,,,D,3561-EB,STD.,7.96,31.6,111.7,45º,2,A,,,,,,,,21358 E,
1.9 Lts.  -  F9Q TD      ,Turbo Diesel - Megane - Scenic - Laguna TD,4,D,3544-A,STD.,6.985,35.32,110.99,45º,2,C,7700110387,,,,,,,1362 A,
,,,,3545-EB,STD.,6.971,32.6,110.79,45º,2,C,7700110388,,,,,,,21362 E,
2.0 Lts. - J6R  -  ZEJ - ZDJ,R18 /  Fuego / R21 / 505,4,G,421-A,STD.,7.98,43.9,111.9,30º,2,C,7701461147,,,,,,V-9617,1079-A,
,,,,1421-EB,STD.,7.97,38.6,111.4,45º,2,C,7700644709,,,,,,S-9618,21179 E,Apto GAS
2.0 Lts.   D / TD  -  1980~  -  J8S,R18 Diesel - R25 / R20  / Traffic,4,D,3240-A,STD.,7.981,40.3,111.5,45º,2,A,7701461338,,,,,,,2140 A,
,,,,23240-ECP,STD.,7.968,33.2,111.5,45º,2,A,7701462232,,,,,,,22140 E,
" N7Q
 2.0 Lts. 16V                     ",Laguna - Megane - Motor Volvo                                      ,4,G,3716-AC,STD.,6.963,31,104.2,45º,4,C,1397641,9207874,,,,,,1261 A,
,,4,G,3717-ECB,STD.,6.955,26.9,103.25,45º,4,C,1366490,1366882,9207880,9471463,,,,21261 E,
"MR4 
2.0 Lts. 16V",Fluence / Laguna / Megane,4,G,4134-A,STD.,5.46,33.85,106.31,45º,2,C,13201EN20B,,,,,,V-7151,5014 A,
,,,Esc,4135-EN,STD.,5.45,27.69,105.23,45º,2,C,13202EN20B,,,,,,S-7152,25014 E,
F4R - 2.0 Lts. -  16V.,Scenic - Megane II - Laguna- Koleos,4,G,3864-A,STD.,5.473,33.45,110.15,45º,2,C,7701474287, ,,,,,V-7131,1259 A,
,,,,3865-EB,STD.,5.441,28.95,108.9,45º,2,A,7701474286,,,,,,,21259-E,
"Dci M9R / M9T
L4 2.0lt. - 16v.","Scenic / Koleos / Laguna / Laguna II / 
Master / Megane II",4,D,4458-A,STD,5.96,27,103,45º,4,A,1320100Q0A,,,,,,,,
,,,,4459-EB,STD,5.96,26,103.9,45º,4,E,1320200Q0A,,,,,,,,
2.2 Lts.    J7R,R18 /  Fuego / R21 / 505,4,G,421-AC,STD.,7.98,43.9,111.9,30º,2,C,7700635409,,,,,,,1079 AGNC,
,,,,1421-EGX,STD.,7.97,38.6,111.4,45º,2,C,,,,,,,,,
2.2 Lts.  - J7R / Z7V                   ,Fuego / R21,4,G,366-AB,STD.,7.84,43.8,111.9,30º,2,C,7702086415,,,,,,,21084 AGNC,
,,,,1421-EGX,STD.,7.97,38.6,111.4,45º,2,C,,,,,,,,,
"G9U - 2,2/2,5 LTS 16 V.",Master / Trafic II,4,D,4080-AN,STD.,5.976,30.7,123.3,45º,4,A,1320100QAD,,,,,,,1364 A,
"G9T - 2,2/2,5 LTS 16 V.","LagunaGrandtour / Laguna II / Avantime /  Espace III, IV / Vel Saltis",4,D,4081-EN,STD.,5.964,29.5,123,45º,4,E,1320200QAD,,,,,,,21364 E,
"L4, (2.5 LTS.), 2488 C.C., DOHC 16 VALVE, QR25DE, PR25DD, VQ35DE, TR25",KOLEOS,4,G,4881-AN,STD,5.967,35.6,101.7,45º,2,C,13201-3TA1A,,,,,,,,
,,,,4882-EN,STD,5.955,30.6,102.9,45º,2,C,13202-3TA1A,,,,,,,,
2.5 Lts. -  8140 TD  -  1991~,Master,4,D,3510-ACB,STD.,7.99,40.87,120.75,30º,2,C,7301820,0948 A2,504069200,7701030863,7701462678,7701463603,,22083 A,
,,4,D,3511-ECB,STD.,7.99,34.4,122,45º,2,C,7301821,4826033,,,,,,22083 E,
181 / 230 - 4B  -  1965-74   ,Tornado 4 Bancadas,6,G,260-A,STD.,8.65,48,118.4,45º,8,C,936979,,,,,,,1047 A,
,,,,1261-ECP,STD.,8.595,41,113.93,45º,8,C,926216,,,,,,,21047 E,
OHC 230  -  7B  -  1974-78,Tornado - 7 Bancadas,6,G,287-AC,STD.,8.66,48,126.4,45º,8,C,2214280,,,,,,,1065 A,Suitable for CNG             --------            Apto GAS
,,,,1287-ECP,STD.,8.65,41,121.5,45º,6,C,2069916,,,,,,,21065 E,
226,"F226, F6226, PF226",6,G,206-A,STD.,8.65,38.5,131.75,30º,8,B,203325,,,,,,,1027 A,
,,,,1207-E,STD.,8.6,33.7,132.2,45º,8,B,F354,,,,,,,21027 E,
,RENAULT TRUCK,,,,,,,,,,,,,,,,,,,
"MIRD 06.02.26 Y24 / MRD 06.02.26 Y (1989) - MIRD 06.02.26 DU (1990) - 6,1 Lts.",Truck,6,D,3916-ACB,STD.,9.96,46.6,140.2,30º,2,A,5000667762,5000676035,5010450589,5010553049,,,,,
,,,,3917-ECB,STD.,9.95,40.6,140.2,45º,2,A,5000676258,5000667939,5010450590,,,,,,
"L6 - 11,0lt. DCi E 24v",RVI Premium / Kerax 320-370-420 / Lander 320-370-420 / Middlum 150 / Premium 150-320-370-420,6,D,4472-ACB,STD,7.95,42.1,185.65,60º,2,A,5010359501,,,,,,,,
,,,,4473-ECB,STD,7.94,38,185.5,45º,2,A,5010412164,,,,,,,,
"L6, (12.8 LTS.), 12.800 C.C., 24 VALVE, DXI 13 440, DXI 13 460, DXI 13 480, DXI 13 500, DXI 13 520, EURO 4-5",KERAX 460 / KERAX 520 / KERAX 500 / MAGNUM AE / MAGNUM AE 440 / MAGNUM AE 520 / MAGNUM AE 480 / MAGNUM AE 460 / MAGNUM AE 500 / ,6,D,4722-AC,STD.,7.965000000000001,42,191.9,65º,4,E,2148655 ,,,,,,,,
,,,,4723-ECX,STD.,7.95,40,191.6,5º0,4,E,,,,,,,,,
"L6, (11.8 LTS.), 24 VALVE, DTI11, DXI11, D11, MD11, EURO 3,4,5,6",KERAX 370 / K-SERIE  380 / C-SERIE (2013)  460 / T-SERIE  460 / K-SERIE  460 / C-SERIE (2013)  430 / T-SERIE  430 / T-SERIE  430 / K-SERIE  430 / C-SERIE (2013)  380 / T-SERIE  380 / PREMIUM-SERIE 300 / PREMIUM-SERIE  450 / LANDER 450 / KERAX 450 / PREMIUM-SERIE  440 / KERAX 440 / PREMIUM-SERIE  410 / LANDER 410 / KERAX 410 / PREMIUM-SERIE  380 / LANDER 370 / KERAX 380 / LANDER 330 / KERAX 330 / PREMIUM-SERIE 370 ,6,D,4735-ACX,STD.,7.964,40,191.95000000000002,60,4,A,20540017 ,,,,,,,,
,,,,4736-ECX,STD.,7.953,38,192.75,60,4,C,3842972 ,,,,,,,,
,ROTAX,,,,,,,,,,,,,,,,,,,
Rotax,SeaDoo Kawasaki ultra 300/ SeaDoo Yamaha,4,G,4266-AC,STD,5.968,38,90.3,45º,4,E,420254294,,,,,,,,
,,,,4267-ECB,STD,5.953,30.5,90.55,45º,4,E,420254282,,,,,,,,
,ROVER,,,,,,,,,,,,,,,,,,,
M14K16 1.4Lts 16V 4 Cil. / 18K16 / 14k2A / 14K4F,214- 414 / 418,4,G,4226-A,STD,5.955,27.7,89.3,45º,2,A,LGH10029,,,,,,,1140 A,
,,,,4227-E,STD,5.95,24,89.9,45º,2,C,LGH100820,LGH101190,,,,,,21140 E,
1.6 Lts.  -  16V  -  1990~,216 / 416 GSi - GTi  ,4,G,3432-A,STD.,5.48,28.9,115.1,45º,2,C,14711PM3000,17211PM3003,,,,,,21190 A,
,,,,3433-EBN,STD.,5.44,25,118.7,45º,2,C,14721PM3000, ,,,,,,21190 E,
 F20A -  2.0lt  - L4 - 16v., Rover 620i.,4,G,4342-AN,STD,5.48,32,112.3,45º,2,C,14711-PTO-000,,,,,,,,
,,,,4343-EN,STD,5.46,27,124,45º,2,C,14721-PTO-000,,,,,,,,
2.0 Lts.  -  TDi  - 16V  - 1996,"Rover 420 TDI / Serie 200, 400",4,D,3788-AN,STD.,6.915,37.15,86.75,45º,2,A,LGH100990,,,,,,,,
,,,,3789-EBN,STD.,6.915,32.5,86.7,45º,2,A,LGH100980,,,,,,,,
,SAAB,,,,,,,,,,,,,,,,,,,
TDI L4  2.0lt. / 2.4lt.  16v.,Sabb 9-3,4,D,4352-ACB,STD,5.97,29,97.2,45º,4,A,,,,,,,,21316 A,
,,,,4353-ECB,STD,5.96,26,97,45º,4,E,,,,,,,,21316 E,
2.0 Lts.  - 16V  - 1992,900 / B204 / 206L-T / B206i / B234i,4,G,3550-AC,STD.,6.965,33,107.8,45º,4,A,9165580,,,,,,,,Suitable for CNG             --------            Apto GAS
2.3 Lts. - 16V  - 1988,9000 16 - 16T / B202si / B234 ,,G,3552-ACS,STD.,6.955,32,108.3,45º,4,C,7484801,,,,,,,,
2.0 Lts. - 2.3 Lts. - 16V     ,900 / 9000 16 - 16T / B204 / 206 / 234i,,G,3551-ECBS,STD.,6.97,29,108.25,45º,4,A,9165598,,,,,,,,
V6 2.8lt. 24v. Vin 4/6 Turbo ,"9-3 / 9-5
",6,G,4402-AN,STD,5.96,35.15,101.22,45º,2,C,12575352,12620501,,,,,V-7211,,
V6 3.0lt. 24v. Vin 5/LFW / G/Y/LF1 ,,,,,,,,,,,,,,,,,,,,
V6 2.8lt. 24v. A28NER/B284/B284R/GM LP9,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,,,,,,,,,,,,,,,,,,,,
2.5 / 3.0 Lts. V6 ,"Saab 900 MK II / 9000 / 9-5 Saloon
Estate",4,G,4144-A,STD.,5.95,31.96,102,45º,4,E,90412277,,,,,,,,
,,,,4145-E,STD.,5.93,29,92.22,45º,4,E,90410813,,,,,,,,
EJ253,9-2x,4,G,3984-AN,STD.,5.954,36,120.6,45º,2,E,13201AA361,13201AA362,,,,,,,
,,,,3985-EBN,STD.,5.951,31.47,121.69,45º,2,E,13202AA371,,,,,,,,
2.0 Lts.  -  1978~,Saab 900 - 9000 Turbo,4,G,375-AC,STD.,7.975,42,107.85,45º,4,E,,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,G,1375-ECBS,STD.,7.95,34.5,108.3,45º,4,E,9307356,,,,,,,,
2.0 Lts  16V B207L / B207R,SAAB,4,G,4144-A,STD.,5.95,31.96,102,45º,4,E,90412277,,,,,,,,
,,,,4145-E,STD.,5.93,29,92.22,45º,4,E,90410813,,,,,,,,
3.0 Lts  24V B307I / SAB-B308I,Passenger Car,,G,4144-A,STD.,5.95,31.96,102,45º,4,E,90412277,,,,,,,,
,,,,4145-E,STD.,5.93,29,92.22,45º,4,E,90410813,,,,,,,,
,SCANIA,,,,,,,,,,,,,,,,,,,
8 Lts.,DN8 / DS8 Turbo,6,D,23396-ACBS,STD.,10.94,50,169,30º,27,A,1105218,,,,,,,,
,,,,23397-ECSS,STD.,10.93,42,169,45º,2,A,243648,,,,,,,,
9.0 Lts.  -  Turbo Intercooler DN9 / DS9 / DS9 Euro 1,SERIE 4 ,6,D,3802-ACB,STD.,10.943,51,162.5,20º,2,A,1801529,1319081, ,,,,,,
,,,,3803-ECS,STD.,10.934,44,162.5,45º,2,A,1360833,1903845, ,,,,,22168 E,
11 Lts.  -  1968~,"Mod. B75 / B76 / L75 / L76 / LS76 / L111 / B111, D10R01 / 21, D11R01 / 21, DS11R01 / 21, DS11B05, DSLO03 / LK140 / LKS140",6,D,378-AC,STD.,10.943,54,162.5,30º,27,A,131354,,,,,,,2025-A,
,,,,1378-EC,STD.,10.925,44,162.54,30º,2,A,243477,,,,,,,26401 E,
11 Lts. -  14 Lts.  -  1983~,DN11 / DS11 / DSC11 / DS14 / DSC14,6,D,23394-ACB,STD.,10.94,54,162.3,20º,27,A,352212,294674,351399,,,,,26404 A,
,,,D,23395-ECS,STD.,10.934,44.6,162.4,45º,2,A,,,,,,,,22058 E,
R 124 - 12 Lts. Y 16lts.- 4v/cil  1996~   Dc12 Euro 2/3 / DC12-420 Euro 3 / DT12 Euro 3/4 / DC16 Euro 2/3/4,SERIE 4 - DSC 12 - DSI 12T -124L - 420,4 / 6 ,D,3662-ACB,STD.,9.935,44,171.4,20º,2,A,1333230,1477022,1515743,,,,,22067-A,
,,,,3663-ECBS,STD.,9.935,41,171.5,45º,2,A,1328537,1445830,1791152,,,,,22066 E,
DSC 12 - DSI 12T 9lts. Y 13lts. 4val./cil. DC9 Euro 5 / DC9 Filter /                               DC 13 Euro 13,SERIE 4 ,6,D,4242-AX,STD,9.94,44,171.4,20º,5,A,1886946,1887056,512037,,,,,22066 A,
,,,,4243-EX,STD,9.925,41,171.5,45º,5,A,1778492,1781847,511732,,,,,22666 E,
P / R  / T 112 / R 142   11lts. Y 14 Lts.   1989~ DSC 11 2v/cil. Euro 0/1 // DSC 14 Euro 1/2 // DSI 14,DMB05 / DS11B05,6 / 8 ,   D,1374-ACB 20,STD.,10.943,54,162.5,20º,2,A,294674,,,,,,,26403-A,
,D11B08 Turbo - Intercooler,,,23395-ECSS,STD.,10.934,44.6,162.4,45º,2,A,1397521,,,,,,,22058-E,
 P / R  / T 112 / R 142 -  10lts. / 14 Lts. 2v/cil  ~1989,DS11 A05 / A06 / L05 / LO05 - DS111 M01 - DSC11 / DSC11 / DS14 / DSC14 / V8,6 / 8,D,1374-ACB 20,STD.,10.943,54,162.5,20º,2,A,294674,,,,,,,26403-A,
,"LS111 / LK111 / LT111 / B111 / LK140 / LKS140  - DS11B05, DS11LB24, DS11L05, DS14LB05 / V8",,D,1374-AC,STD.,10.94,54,162.5,30º,2,A,272804,1361190,,,,,,6403 A,
,"L111/B111/LS111/LK111/LT111/ B111-DS11B05,D11LO03 /DS11LB24,DS11L05,DS11A05 /A06/L05,DS111M01",,D,1374-ECB,STD.,10.934,45,162.5,45º,2,A,,,,,,,,22045-E,
"L6, (12.7 Lts.), 12.700 C.C., DC13, 24 Valve, Intercooler Euro 5",SERIE G360 / ,6,D,4667-AX,STD.,9.94,44,171.4,70,5,E,1854800 ,,,,,,,,
,,,,4668-EX,STD.,9.925,41,171.5,60,5,E,2023341 ,,,,,,,,
"L6, (12.7 Lts.), 12.700 C.C., DC13, 24 Valve, Intercooler Euro 5
V8, (16 Lts.), DC16, 32 Valve, R620, Intercooler Euro 5",SERIE G360 / ,"6
8",D,4905-AX,STD.,9.94,44,171.9,20º,5,C,2196243,,,,,,,,
,,,,4668-EX,STD.,9.925,41,171.5,60,5,C,2023341 ,,,,,,,,
,SEA DOO,,,,,,,,,,,,,,,,,,,
Bombardier 155 HP (sin Turbo) / 215 HP con Turbo / 260 HP con Turbo,"Sea Doo GTX 215 / GTX 4 TEC - ´08
GXT 4  TEC Wake  -
GXT 4  TEC LTD Supercharger / 
GXT 4  TEC LTD Special Supercharger /
Sea Doo RXP / RXT
Sea Doo GTI 130 /
Sea Doo GTI R 1530 DT",,G,4266-AC,STD,5.968,38,90.3,45º,4,C,420254294,,,,,,,,
,,,,4267-ECB,STD,5.953,30.9,90.55,45º,4,C,420254282,,,,,,,,
,SEAT,,,,,,,,,,,,,,,,,,,
AER - 1.0 Lts. - 1997-98,"Aroza, Ibiza",4,G,3512-A,STD.,6.96,31,94.75,45º,4,C,030 109 601 AG,,,,,,,1207 A,
,,4,G,3513-EB,STD.,6.94,26,94.45,45º,4,C,030 109 611 N,,,,,,,21207 E,
AAU / ABD - 1.0 / 1.4 Lts. - 1993 ~,Ibiza / Cordoba,4,G,3972-A,STD.,6.965,34.00,99,45º,4,A,030 109 601 J,,,,,,,1222 A,
,,,,3973-EX,STD.,6.942,28.90,99.00,45º,4,A,030 109 611 D,,,,,,,21222 E,
"L4, (1.4 LTS.), 1390 C.C.,16 VALVE, TFSI, DOHC, TURBO",ALHAMBRA / LEON / TOLEDO / CORDOBA / ALTEA / IBIZA / IBIZA / CORDOBA / LEON / TOLEDO / ,4,G,4733-A,STD.,5.973,29.5,100.65,45º,4,C,036109601AL ,,,,,,V-7189,,
,,,,4734-EC,STD.,5.95,26,100.60000000000001,45º,4,C,"036109611AE_x000D_
036109611K ",,,,,,S-7190,,
"1.4 TSI  16V FR
1.4 TSI",Ibiza / Leon,4,G,4526-A,STD,4.97,28.5,110.25,45º,4,A,04E109601B  ,,,,,,,,
,,,,4527-ECB,STD,4.965,25,110.1,60º,4,A,04E 109 611 J ,,,,,,S-7190,,
1.4 Lts. - 1.6 Lts. - 1.8 Lts. - 1.9 Lts.  -  AAM / ADZ / ABS / 2E  - 1993,"Golf, Vento, Passat ",4,G,3484-A,STD.,6.98,37.8,91.9,45º,4,C,048 109 601 E,,,,,,V-9781,1708 A,Suitable for CNG             --------            Apto GAS
,,,,3485-EBS,STD.,6.965,32.9,91.15,45º,4,C,,,,,,,S-9750,21708-E,
1.8 Lts. - AEB  - V20  - 1998,Alhambra ,4,G,3488-AS,STD.,5.963,26.9,105.09,45º,4,C,085109601C,,,,,,V-7015,1707 A,
